old_source_name,new_source_name,old_text_name,new_text_name,old_year,new_year,old_title,new_title,doi,metadata_source,confidence
2023_nutrition_impact_on_ilc3_maintenance_and_function_centers_on_a_cell_intrinsic_cd71_iron_axis.md,2023_nutrition_impact_on_ilc3_maintenance_and_function_centers_on_a_cell_intrinsic_cd71_iron_axis.md,2023_nutrition_impact_on_ilc3_maintenance_and_function_centers_on_a_cell_intrinsic_cd71_iron_axis.txt,2023_nutrition_impact_on_ilc3_maintenance_and_function_centers_on_a_cell_intrinsic_cd71_iron_axis.txt,2022,2023,Nutrition impact on ILC3 maintenance and function centers on a cell-intrinsic CD71-iron axis,Nutrition impact on ILC3 maintenance and function centers on a cell-intrinsic CD71-iron axis,10.1038/s41590-023-01612-z,crossref-doi,high
2024_ctla_4_expressing_ilc3s_restrain_interleukin_23_mediated_inflammation.md,2024_ctla_4_expressing_ilc3s_restrain_interleukin_23_mediated_inflammation.md,2024_ctla_4_expressing_ilc3s_restrain_interleukin_23_mediated_inflammation.txt,2024_ctla_4_expressing_ilc3s_restrain_interleukin_23_mediated_inflammation.txt,2023,2024,CTLA-4-expressing ILC3s restrain interleukin-23-mediated inflammation,CTLA-4-expressing ILC3s restrain interleukin-23-mediated inflammation,10.1038/s41586-024-07537-3,crossref-doi,high
2024_ilc2_derived_lif_licences_progress_from_tissue_to_systemic_immunity.md,2024_ilc2_derived_lif_licences_progress_from_tissue_to_systemic_immunity.md,2024_ilc2_derived_lif_licences_progress_from_tissue_to_systemic_immunity.txt,2024_ilc2_derived_lif_licences_progress_from_tissue_to_systemic_immunity.txt,2023,2024,ILC2-derived LIF licences progress from tissue to systemic immunity,ILC2-derived LIF licences progress from tissue to systemic immunity,10.1038/s41586-024-07746-w,crossref-doi,high
2024_nucleophosmin_1_promotes_mucosal_immunity_by_supporting_mitochondrial_oxidative_phosphorylation_and_ilc3_activit.md,2024_nucleophosmin_1_promotes_mucosal_immunity_by_supporting_mitochondrial_oxidative_phosphorylation_and_ilc3_activit.md,2024_nucleophosmin_1_promotes_mucosal_immunity_by_supporting_mitochondrial_oxidative_phosphorylation_and_ilc3_activit.txt,2024_nucleophosmin_1_promotes_mucosal_immunity_by_supporting_mitochondrial_oxidative_phosphorylation_and_ilc3_activit.txt,2023,2024,Nucleophosmin 1 promotes mucosal immunity by supporting mitochondrial oxidative phosphorylation and ILC3 activity,Nucleophosmin 1 promotes mucosal immunity by supporting mitochondrial oxidative phosphorylation and ILC3 activity,10.1038/s41590-024-01921-x,crossref-doi,high
2023_vitamin_d3_resolved_human_and_experimental_asthma_via_b_lymphocyte_induced_maturation_protein_1_in_t_cells_and_i.md,2023_vitamin_d3_resolved_human_and_experimental_asthma_via_b_lymphocyte_induced_maturation_protein_1_in_t_cells_and_i.md,2023_vitamin_d3_resolved_human_and_experimental_asthma_via_b_lymphocyte_induced_maturation_protein_1_in_t_cells_and_i.txt,2023_vitamin_d3_resolved_human_and_experimental_asthma_via_b_lymphocyte_induced_maturation_protein_1_in_t_cells_and_i.txt,2023,2023,Vitamin D(3) resolved human and experimental asthma via B lymphocyte-induced maturation protein 1 in T cells and innate lymphoid cells,Vitamin D3 resolved human and experimental asthma via B lymphocyte-induced maturation protein 1 in T cells and innate lymphoid cells,10.1016/j.jacig.2023.100099,crossref-doi,high
2025_blocking_the_hif_1alpha_glycolysis_axis_inhibits_allergic_airway_inflammation_by_reducing_ilc2_metabolism_and_fu.md,2025_blocking_the_hif_1alpha_glycolysis_axis_inhibits_allergic_airway_inflammation_by_reducing_ilc2_metabolism_and_fu.md,2025_blocking_the_hif_1alpha_glycolysis_axis_inhibits_allergic_airway_inflammation_by_reducing_ilc2_metabolism_and_fu.txt,2025_blocking_the_hif_1alpha_glycolysis_axis_inhibits_allergic_airway_inflammation_by_reducing_ilc2_metabolism_and_fu.txt,2024,2025,Blocking the HIF-1alpha glycolysis axis inhibits allergic airway inflammation by reducing ILC2 metabolism and function,Blocking the HIF‐1alpha/glycolysis axis inhibits allergic airway inflammation by reducing ILC2 metabolism and function,10.1111/all.16361,crossref-doi,high
2025_cgrp_related_neuropeptide_adrenomedullin_2_promotes_tissue_protective_ilc2_responses_and_limits_intestinal_infla.md,2025_cgrp_related_neuropeptide_adrenomedullin_2_promotes_tissue_protective_ilc2_responses_and_limits_intestinal_infla.md,2025_cgrp_related_neuropeptide_adrenomedullin_2_promotes_tissue_protective_ilc2_responses_and_limits_intestinal_infla.txt,2025_cgrp_related_neuropeptide_adrenomedullin_2_promotes_tissue_protective_ilc2_responses_and_limits_intestinal_infla.txt,2024,2025,CGRP-related neuropeptide adrenomedullin 2 promotes tissue-protective ILC2 responses and limits intestinal inflammation,CGRP-related neuropeptide adrenomedullin 2 promotes tissue-protective ILC2 responses and limits intestinal inflammation,10.1038/s41590-025-02243-2,crossref-doi,high
2025_circadian_circuits_control_plasticity_of_group_3_innate_lymphoid_cells_by_sustaining_epigenetic_configuration_of.md,2025_circadian_circuits_control_plasticity_of_group_3_innate_lymphoid_cells_by_sustaining_epigenetic_configuration_of.md,2025_circadian_circuits_control_plasticity_of_group_3_innate_lymphoid_cells_by_sustaining_epigenetic_configuration_of.txt,2025_circadian_circuits_control_plasticity_of_group_3_innate_lymphoid_cells_by_sustaining_epigenetic_configuration_of.txt,2024,2025,Circadian circuits control plasticity of group 3 innate lymphoid cells by sustaining epigenetic configuration of RORgammat,Circadian circuits control plasticity of group 3 innate lymphoid cells by sustaining epigenetic configuration of RORgammat,10.1038/s41590-025-02240-5,crossref-doi,high
2019_innate_lymphoid_cells_of_the_lung.md,2019_innate_lymphoid_cells_of_the_lung.md,2019_innate_lymphoid_cells_of_the_lung.txt,2019_innate_lymphoid_cells_of_the_lung.txt,2024,2019,Innate Lymphoid Cells of the Lung,Innate Lymphoid Cells of the Lung,10.1146/annurev-physiol-020518-114630,crossref-title,high
2024_the_ire1alpha_xbp1_pathway_sustains_cytokine_responses_of_group_3_innate_lymphoid_cells_in_inflammatory_bowel_di.md,2024_the_ire1alpha_xbp1_pathway_sustains_cytokine_responses_of_group_3_innate_lymphoid_cells_in_inflammatory_bowel_di.md,2024_the_ire1alpha_xbp1_pathway_sustains_cytokine_responses_of_group_3_innate_lymphoid_cells_in_inflammatory_bowel_di.txt,2024_the_ire1alpha_xbp1_pathway_sustains_cytokine_responses_of_group_3_innate_lymphoid_cells_in_inflammatory_bowel_di.txt,2024,2024,The IRE1alphaXBP1 pathway sustains cytokine responses of group 3 innate lymphoid cells in inflammatory bowel disease,The IRE1alpha/XBP1 pathway sustains cytokine responses of group 3 innate lymphoid cells in inflammatory bowel disease,10.1172/jci174198,crossref-doi,high
2025_tuft_cell_il_17rb_restrains_il_25_bioavailability_and_reveals_context_dependent_ilc2_hypoproliferation.md,2025_tuft_cell_il_17rb_restrains_il_25_bioavailability_and_reveals_context_dependent_ilc2_hypoproliferation.md,2025_tuft_cell_il_17rb_restrains_il_25_bioavailability_and_reveals_context_dependent_ilc2_hypoproliferation.txt,2025_tuft_cell_il_17rb_restrains_il_25_bioavailability_and_reveals_context_dependent_ilc2_hypoproliferation.txt,2024,2025,Tuft cell IL-17RB restrains IL-25 bioavailability and reveals context-dependent ILC2 hypoproliferation,Tuft cell IL-17RB restrains IL-25 bioavailability and reveals context-dependent ILC2 hypoproliferation,10.1038/s41590-025-02104-y,crossref-doi,high
2025_enteric_gabaergic_neuron_derived_gamma_aminobutyric_acid_initiates_expression_of_igfbp7_to_sustain_ilc3_homeosta.md,2025_enteric_gabaergic_neuron_derived_gamma_aminobutyric_acid_initiates_expression_of_igfbp7_to_sustain_ilc3_homeosta.md,2025_enteric_gabaergic_neuron_derived_gamma_aminobutyric_acid_initiates_expression_of_igfbp7_to_sustain_ilc3_homeosta.txt,2025_enteric_gabaergic_neuron_derived_gamma_aminobutyric_acid_initiates_expression_of_igfbp7_to_sustain_ilc3_homeosta.txt,2025,2025,Enteric GABAergic neuron-derived gamma-aminobutyric acid initiates expression of Igfbp7 to sustain ILC3 homeostasis,Enteric GABAergic neuron-derived gamma-aminobutyric acid initiates expression of Igfbp7 to sustain ILC3 homeostasis,10.1038/s41590-025-02081-2,crossref-doi,high
2024_group_3_innate_lymphoid_cells_a_potential_therapeutic_target_for_steroid_resistant_asthma.md,2024_group_3_innate_lymphoid_cells_a_potential_therapeutic_target_for_steroid_resistant_asthma.md,2024_group_3_innate_lymphoid_cells_a_potential_therapeutic_target_for_steroid_resistant_asthma.txt,2024_group_3_innate_lymphoid_cells_a_potential_therapeutic_target_for_steroid_resistant_asthma.txt,2025,2024,Group 3 Innate Lymphoid Cells A Potential Therapeutic Target for Steroid Resistant Asthma,Group 3 Innate Lymphoid Cells: A Potential Therapeutic Target for Steroid Resistant Asthma,10.1007/s12016-024-09012-3,crossref-doi,high
2021_group_2_innate_lymphoid_cells_team_players_in_regulating_asthma.md,2021_group_2_innate_lymphoid_cells_team_players_in_regulating_asthma.md,2021_group_2_innate_lymphoid_cells_team_players_in_regulating_asthma.txt,2021_group_2_innate_lymphoid_cells_team_players_in_regulating_asthma.txt,2026,2021,Group 2 Innate Lymphoid Cells Team Players in Regulating Asthma,Group 2 Innate Lymphoid Cells: Team Players in Regulating Asthma,10.1146/annurev-immunol-110119-091711,crossref-title,high
2026_rorgammat_dendritic_cells_are_a_distinct_lymphoid_derived_lineage.md,2026_rorgammat_dendritic_cells_are_a_distinct_lymphoid_derived_lineage.md,2026_rorgammat_dendritic_cells_are_a_distinct_lymphoid_derived_lineage.txt,2026_rorgammat_dendritic_cells_are_a_distinct_lymphoid_derived_lineage.txt,2026,2026,RORgammat+ dendritic cells are a distinct lymphoid-derived lineage,RORgammat + dendritic cells are a distinct lymphoid-derived lineage,10.1126/sciimmunol.aed7439,crossref-title,high
